witness_ordinal	from_aspect	to_aspect	trit_delta	closure_effect	color_hex	semantic_cost
1	color_space_object	trit_tick_object	1	positive_shift	#F01299	0.753216
1	color_space_object	rng_determinism_object	-1	negative_shift	#49740B	1.104488
1	color_space_object	parallel_invariance_object	0	same_trit_relabel	#6EADBE	1.226273
1	color_space_object	palette_interface_object	1	positive_shift	#F1C08A	1.026575
1	color_space_object	lisp_semantics_object	-1	negative_shift	#639C60	1.149632
1	color_space_object	entropy_source_object	0	same_trit_relabel	#EC6ABD	1.059012
1	color_space_object	propagator_cell_object	1	positive_shift	#11BC30	1.249295
1	color_space_object	abductive_world_object	-1	negative_shift	#0C0515	1.177637
1	color_space_object	fuzz_soundness_object	0	same_trit_relabel	#A3AF39	1.070811
1	color_space_object	ternary_regression_object	1	positive_shift	#204DD9	0.682551
1	color_space_object	nonriemannian_gate_object	-1	negative_shift	#645E90	0.962974
1	color_space_object	exa_loop_object	0	same_trit_relabel	#DE5E73	0.490933
1	color_space_object	aqua_hygiene_object	1	positive_shift	#5BE15E	0.823906
1	color_space_object	scip_catcolab_object	-1	negative_shift	#B8D97B	1.205836
2	trit_tick_object	color_space_object	-1	negative_shift	#3317A9	1.004747
2	trit_tick_object	rng_determinism_object	1	positive_shift	#37C90A	1.249211
2	trit_tick_object	parallel_invariance_object	-1	negative_shift	#F0B29D	0.722913
2	trit_tick_object	palette_interface_object	0	same_trit_relabel	#7F146C	0.498116
2	trit_tick_object	lisp_semantics_object	1	positive_shift	#BD7C65	0.841218
2	trit_tick_object	entropy_source_object	-1	negative_shift	#7E645B	0.718247
2	trit_tick_object	propagator_cell_object	0	same_trit_relabel	#A0974A	0.793098
2	trit_tick_object	abductive_world_object	1	positive_shift	#70DF79	0.730962
2	trit_tick_object	fuzz_soundness_object	-1	negative_shift	#C923F0	1.163688
2	trit_tick_object	ternary_regression_object	0	same_trit_relabel	#A47ECC	0.875661
2	trit_tick_object	nonriemannian_gate_object	1	positive_shift	#23A799	0.981105
2	trit_tick_object	exa_loop_object	-1	negative_shift	#9E2EBE	0.838196
2	trit_tick_object	aqua_hygiene_object	0	same_trit_relabel	#568291	0.460864
2	trit_tick_object	scip_catcolab_object	1	positive_shift	#99380E	0.672928
3	rng_determinism_object	color_space_object	1	positive_shift	#7BBAFF	1.252864
3	rng_determinism_object	trit_tick_object	-1	negative_shift	#6D4C2E	1.069565
3	rng_determinism_object	parallel_invariance_object	1	positive_shift	#5FF908	1.266461
3	rng_determinism_object	palette_interface_object	-1	negative_shift	#F71C86	0.745154
3	rng_determinism_object	lisp_semantics_object	0	same_trit_relabel	#873CF5	0.321879
3	rng_determinism_object	entropy_source_object	1	positive_shift	#9AD575	1.036509
